,,,,CONTROL DE INVENTARIO MENSUAL,,,,,,,,
,,,,,,,,,,,,
#,Numero de Parte#,Descripcion de Parte,Proveedor,Tipo de Transaccion (ENTERADA/SALIDA/AJUSTE),Cantidad,Balance,Fecha,Solicitante,Departamento,Autorizado por:,Comentarios,
74,,tornillos 5/8x2 rosca seguida con tuerca ,tusa,ENTRADA,60,60,4/2/2026,JAZ,TALLER CAJAS,JESUS SOTO ,,
1,,"wiper 22""",diesel parts,AJUSTE ENTRADA,1,1,5/2/2026,FRAGA ,TALLER TRACTOS,JESUS SOTO ,,
2,,base para hembra grande,promare o trasejusa,AJUSTE ENTRADA,1,1,5/2/2026,JAZ,TALLER CAJAS,JESUS SOTO ,,
3,,carbuclean,diesel parts,AJUSTE ENTRADA,4,4,5/2/2026,HECTOR,TALLER TRACTOS,JESUS SOTO ,,
4,,conexion de resorte 3/8,cemaco,AJUSTE ENTRADA,1,1,5/2/2026,,SELECCIONAR,JESUS SOTO ,,
5,,valvula control tablero,,AJUSTE ENTRADA,1,1,5/2/2026,FRAGA ,TALLER TRACTOS,JESUS SOTO ,,
6,,conector 9007,diesel parts,AJUSTE ENTRADA,1,1,5/2/2026,FRAGA ,TALLER TRACTOS,JESUS SOTO ,,
7,,foco 9007,diesel parts,AJUSTE ENTRADA,2,2,5/2/2026,FRAGA ,TALLER TRACTOS,JESUS SOTO ,,
8,,foco 9006,diesel parts,AJUSTE ENTRADA,4,4,5/2/2026,FRAGA ,TALLER TRACTOS,JESUS SOTO ,,
9,,ganchos p/cofre,,AJUSTE ENTRADA,2,2,5/2/2026,FRAGA ,TALLER TRACTOS,JESUS SOTO ,,
10,,mangas p/ soldar ,,AJUSTE ENTRADA,4,4,5/2/2026,JAZ,TALLER CAJAS,JESUS SOTO ,,
11,,hembra hexagonal,promare o trasejusa,AJUSTE ENTRADA,2,2,5/2/2026,JAZ,TALLER CAJAS,JESUS SOTO ,,
12,,cadenero p/puerta ,promare o trasejusa,AJUSTE ENTRADA,28,28,5/2/2026,JAZ,TALLER CAJAS,JESUS SOTO ,,
13,,pivotes p rin de fierro,diesel parts,AJUSTE ENTRADA,8,8,5/2/2026,FRAGA ,TALLER TRACTOS,JESUS SOTO ,,
14,,parches xrp-10,muñoz car ,AJUSTE ENTRADA,19,19,5/2/2026,JAZ,TALLER CAJAS,JESUS SOTO ,,
15,,parches pr12,muñoz car ,AJUSTE ENTRADA,7,7,5/2/2026,JAZ,TALLER CAJAS,JESUS SOTO ,,
16,,balero eje 3,,AJUSTE ENTRADA,2,2,5/2/2026,FRAGA ,TALLER TRACTOS,JESUS SOTO ,,
17,,zapatas p/ pila 3/8,diesel parts,AJUSTE ENTRADA,3,3,5/2/2026,FRAGA ,TALLER TRACTOS,JESUS SOTO ,,
18,,disco de corte 7,agmaq,AJUSTE ENTRADA,3,3,5/2/2026,JAZ,TALLER CAJAS,JESUS SOTO ,,
19,2972800,plafon redondo rojo 4,apymsa,AJUSTE ENTRADA,20,20,5/2/2026,JAZ,TALLER CAJAS,JESUS SOTO ,,
20,,maria rojas,apymsa,AJUSTE ENTRADA,45,45,5/2/2026,JAZ,TALLER CAJAS,JESUS SOTO ,,
